Term,Category of terms,Remarks,,,,,,,,,,,,,,,,,,,,,,
吵左獲甘,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吵左鑊甘,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吵左獲金,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吵左鑊金,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
炒左獲甘,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
炒左鑊甘,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
炒左獲金,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
炒左鑊金,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
炒大獲,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
炒大鑊,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吵大獲,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吵大鑊,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
爆哂粗,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
爆o西粗,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
趕我出去,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
分開住,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
驚俾人打,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
驚比人打,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
發爛渣,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
離席,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
拍枱走人,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
比說話我聽,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
俾說話我聽,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
quit,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
quit group,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
quit gp,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
quit谷,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
互不理睬,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
食飯靜哂,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
成個group靜哂,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
成個gp靜哂,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
block左佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
quit左佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
各行各路,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5出聲,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾出聲,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5再講野,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔再講野,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾再講野,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
冇野講,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
比面色我睇,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
面左左,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
delete contact,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
delete contacts,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
delete 聯絡人,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
del contact,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
del contacts,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
del 聯絡人,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
同佢地冇野講,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔想同佢地講野,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾想同佢地講野,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5想同佢地講野,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
當睇佢唔到,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
當睇佢吾到,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
當睇佢5到,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔想理佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾想理佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5想理佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔想睬佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾想睬佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5想睬佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
搬走,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
搬出去,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
盡量避開佢地,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔返黎,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾返黎,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5返黎,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔返o黎,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾返o黎,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5返o黎,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔返嚟,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾返嚟,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5返嚟,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔一齊食飯,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾一齊食飯,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5一齊食飯,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
各自食飯,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔想望到佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾想望到佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5想望到佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔想見到佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾想見到佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5想見到佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
唔想對住佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
吾想對住佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
5想對住佢,Family_Conflict_A,,,,,,,,,,,,,,,,,,,,,,,
無屋企返,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
比人趕出屋,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
趕我出屋,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
俾屋企人打,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
比屋企人打,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
屋企人會打死我,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
呀爸會打死我,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
亞爸會打死我,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
阿爸會打死我,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
呀媽會打死我,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
亞媽會打死我,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
阿媽會打死我,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
老豆會打死我,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
老母會打死我,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
屋企gp靜哂,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
屋企group靜哂,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
屋企谷靜哂,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
家庭分裂,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同屋企人反哂面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同屋企人反o西面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同老豆反哂面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同老母反哂面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同呀爸反哂面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同呀媽反哂面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同亞爸反哂面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同亞媽反哂面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同阿爸反哂面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同阿媽反哂面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同老豆反o西面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同老母反o西面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同呀爸反o西面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同呀媽反o西面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同亞爸反o西面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同亞媽反o西面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同阿爸反o西面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同阿媽反o西面,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
平日屋企扮無野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同屋企斷絕來往,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同屋企人冇再見,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
同屋企人冇野講,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同屋企人講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同屋企人講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同屋企人講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同屋企人講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同屋企人講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同屋企人講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同屋企人講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同屋企人講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同屋企人講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同老豆講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同老豆講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同老豆講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同老豆講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同老豆講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同老豆講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同老豆講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同老豆講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同老豆講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同老母講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同老母講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同老母講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同老母講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同老母講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同老母講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同老母講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同老母講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同老母講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同阿媽講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同阿媽講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同阿媽講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同阿媽講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同阿媽講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同阿媽講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同阿媽講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同阿媽講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同阿媽講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同亞媽講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同亞媽講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同亞媽講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同亞媽講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同亞媽講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同亞媽講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同亞媽講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
